epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,133.904,1.09489,1.42812,0.94901,0.68126,0.82917,0.8488,0.65711,0.86342,1.03972,0.92651,0.000169908,0.000169908,0.000169908
91,136.041,1.14614,1.71556,1.0054,0.68126,0.82917,0.8488,0.65711,0.86342,1.03972,0.92651,0.000155761,0.000155761,0.000155761
92,137.332,1.01431,1.53149,1.02231,0.70711,0.84226,0.85277,0.66202,0.85283,1.03883,0.92534,0.000141614,0.000141614,0.000141614
93,139.726,0.99955,1.51152,0.9739,0.70711,0.84226,0.85277,0.66202,0.85283,1.03883,0.92534,0.000127467,0.000127467,0.000127467
94,141.763,1.12313,1.52735,1.01227,0.70711,0.84226,0.85277,0.66202,0.85283,1.03883,0.92534,0.00011332,0.00011332,0.00011332
95,143.243,0.99407,1.44972,0.93341,0.68186,0.89225,0.87371,0.65772,0.84598,1.06342,0.9246,9.91726e-05,9.91726e-05,9.91726e-05
96,144.347,1.01226,1.34446,0.97521,0.68186,0.89225,0.87371,0.65772,0.84598,1.06342,0.9246,8.50255e-05,8.50255e-05,8.50255e-05
97,145.551,0.93026,1.35313,0.92968,0.69188,0.90087,0.87107,0.65323,0.85042,1.06516,0.92542,7.08784e-05,7.08784e-05,7.08784e-05
98,146.722,0.97473,1.37932,0.9516,0.69188,0.90087,0.87107,0.65323,0.85042,1.06516,0.92542,5.67313e-05,5.67313e-05,5.67313e-05
99,147.932,0.87909,1.39063,0.90948,0.69188,0.90087,0.87107,0.65323,0.85042,1.06516,0.92542,4.25842e-05,4.25842e-05,4.25842e-05
100,149.065,0.97573,1.44383,0.94613,0.69759,0.89048,0.86741,0.65139,0.84907,1.0753,0.92623,2.84371e-05,2.84371e-05,2.84371e-05
